ts,a,b,cuota_a,cuota_b
2026-07-31T20:05:17,gilbert urbina,vlasto cepo,3.75,1.26
2026-07-31T20:05:17,gillian robertson,mackenzie dern,2.65,1.47
2026-07-31T20:05:17,guilherme pat,steven asplund,2.8,1.42
2026-07-31T20:05:17,hailey cowan,nina milosevic,5.1,1.16
2026-07-31T20:05:17,ian garry,islam makhachev,3.45,1.3
2026-07-31T20:05:17,jan blachowicz,navajo stirling,3.45,1.3
2026-07-31T20:05:17,juliana miller,ravena oliveira morais,1.42,2.82
2026-07-31T20:05:17,kyle prepolec,mateusz rebecki,5.8,1.13
2026-07-31T20:05:17,ludovit klein,tofiq musayev,1.32,3.3
2026-07-31T20:05:17,marina spasic,stephanie bruna luciano,3.5,1.29
2026-07-31T20:05:17,mateusz gamrot,quillan salkilld,2.05,1.75
2026-07-31T20:05:17,michael oliveira,oban elliott,1.26,3.7
2026-07-31T20:05:17,milos janicic,noah gugnon,1.98,1.8
2026-07-31T20:22:53,aleksandar rakic,marcin tybura,1.27,3.65
2026-07-31T20:22:53,alexander poppeck,jovan leka,3.0,1.38
2026-07-31T20:22:53,alexia thainara,amanda lemos,1.42,2.82
2026-07-31T20:22:53,billy goff,ty cole miller,3.15,1.34
2026-07-31T20:22:53,billy quarantillo,diego ferreira,2.32,1.6
2026-07-31T20:22:53,bogdan grad,dennis buzukja,1.42,2.8
2026-07-31T20:22:53,borislav nikolic,mark vologdin,1.45,2.7
2026-07-31T20:22:53,bruno lopes,diyar nurgozhay,2.3,1.6
2026-07-31T20:22:53,daniel rodriguez,uros medic,3.85,1.25
2026-07-31T20:22:53,darren elkins,yadier delvalle,5.4,1.14
2026-07-31T20:22:53,dusko todorovic,robert valentin,2.32,1.6
2026-07-31T20:22:53,gilbert urbina,vlasto cepo,3.75,1.26
2026-07-31T20:22:53,gillian robertson,mackenzie dern,2.65,1.47
2026-07-31T20:22:53,guilherme pat,steven asplund,2.8,1.42
2026-07-31T20:22:53,hailey cowan,nina milosevic,5.1,1.16
2026-07-31T20:22:53,ian garry,islam makhachev,3.45,1.3
2026-07-31T20:22:53,jan blachowicz,navajo stirling,3.45,1.3
2026-07-31T20:22:53,juliana miller,ravena oliveira morais,1.42,2.82
2026-07-31T20:22:53,kyle prepolec,mateusz rebecki,5.8,1.13
2026-07-31T20:22:53,ludovit klein,tofiq musayev,1.32,3.3
2026-07-31T20:22:53,marina spasic,stephanie bruna luciano,3.5,1.29
2026-07-31T20:22:53,mateusz gamrot,quillan salkilld,2.05,1.75
2026-07-31T20:22:53,michael oliveira,oban elliott,1.26,3.7
2026-07-31T20:22:53,milos janicic,noah gugnon,1.93,1.83
2026-07-31T20:28:33,aleksandar rakic,marcin tybura,1.27,3.65
2026-07-31T20:28:33,alexander poppeck,jovan leka,3.0,1.38
2026-07-31T20:28:33,alexia thainara,amanda lemos,1.42,2.82
2026-07-31T20:28:33,billy goff,ty cole miller,3.15,1.34
2026-07-31T20:28:33,billy quarantillo,diego ferreira,2.32,1.6
2026-07-31T20:28:33,bogdan grad,dennis buzukja,1.42,2.8
2026-07-31T20:28:33,borislav nikolic,mark vologdin,1.45,2.7
2026-07-31T20:28:33,bruno lopes,diyar nurgozhay,2.3,1.6
2026-07-31T20:28:33,daniel rodriguez,uros medic,3.85,1.25
2026-07-31T20:28:33,darren elkins,yadier delvalle,5.4,1.14
2026-07-31T20:28:33,dusko todorovic,robert valentin,2.32,1.6
2026-07-31T20:28:33,gilbert urbina,vlasto cepo,3.75,1.26
2026-07-31T20:28:33,gillian robertson,mackenzie dern,2.65,1.47
2026-07-31T20:28:33,guilherme pat,steven asplund,2.8,1.42
2026-07-31T20:28:33,hailey cowan,nina milosevic,5.1,1.16
2026-07-31T20:28:33,ian garry,islam makhachev,3.45,1.3
2026-07-31T20:28:33,jan blachowicz,navajo stirling,3.45,1.3
2026-07-31T20:28:33,juliana miller,ravena oliveira morais,1.42,2.82
2026-07-31T20:28:33,kyle prepolec,mateusz rebecki,5.8,1.13
2026-07-31T20:28:33,ludovit klein,tofiq musayev,1.32,3.3
2026-07-31T20:28:33,marina spasic,stephanie bruna luciano,3.5,1.29
2026-07-31T20:28:33,mateusz gamrot,quillan salkilld,2.05,1.75
2026-07-31T20:28:33,michael oliveira,oban elliott,1.26,3.7
2026-07-31T20:28:33,milos janicic,noah gugnon,1.93,1.83
2026-07-31T23:20:27,aleksandar rakic,marcin tybura,1.27,3.65
2026-07-31T23:20:27,alexander poppeck,jovan leka,3.0,1.38
2026-07-31T23:20:27,alexia thainara,amanda lemos,1.42,2.82
2026-07-31T23:20:27,billy goff,ty cole miller,3.15,1.34
2026-07-31T23:20:27,billy quarantillo,diego ferreira,2.32,1.6
2026-07-31T23:20:27,bogdan grad,dennis buzukja,1.42,2.8
2026-07-31T23:20:27,borislav nikolic,mark vologdin,1.45,2.7
2026-07-31T23:20:27,bruno lopes,diyar nurgozhay,2.3,1.6
2026-07-31T23:20:27,daniel rodriguez,uros medic,3.85,1.25
2026-07-31T23:20:27,darren elkins,yadier delvalle,5.4,1.14
2026-07-31T23:20:27,dusko todorovic,robert valentin,2.32,1.6
2026-07-31T23:20:27,gilbert urbina,vlasto cepo,3.75,1.26
2026-07-31T23:20:27,gillian robertson,mackenzie dern,2.65,1.47
2026-07-31T23:20:27,guilherme pat,steven asplund,2.8,1.42
2026-07-31T23:20:27,hailey cowan,nina milosevic,5.1,1.16
2026-07-31T23:20:27,ian garry,islam makhachev,3.45,1.3
2026-07-31T23:20:27,jan blachowicz,navajo stirling,3.45,1.3
2026-07-31T23:20:27,juliana miller,ravena oliveira morais,1.42,2.82
2026-07-31T23:20:27,kyle prepolec,mateusz rebecki,5.8,1.13
2026-07-31T23:20:27,ludovit klein,tofiq musayev,1.32,3.3
2026-07-31T23:20:27,marina spasic,stephanie bruna luciano,3.5,1.29
2026-07-31T23:20:27,mateusz gamrot,quillan salkilld,2.05,1.75
2026-07-31T23:20:27,michael oliveira,oban elliott,1.26,3.7
2026-07-31T23:20:27,milos janicic,noah gugnon,1.93,1.83
2026-08-01T13:26:02,aleksandar rakic,marcin tybura,1.26,3.8
2026-08-01T13:26:02,alexia thainara,amanda lemos,1.42,2.82
2026-08-01T13:26:02,billy goff,ty cole miller,3.15,1.34
2026-08-01T13:26:02,billy quarantillo,diego ferreira,2.32,1.6
2026-08-01T13:26:02,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T13:26:02,daniel rodriguez,uros medic,3.85,1.25
2026-08-01T13:26:02,darren elkins,yadier delvalle,5.4,1.14
2026-08-01T13:26:02,dusko todorovic,robert valentin,2.15,1.67
2026-08-01T13:26:02,gilbert urbina,vlasto cepo,3.4,1.3
2026-08-01T13:26:02,gillian robertson,mackenzie dern,2.65,1.47
2026-08-01T13:26:02,guilherme pat,steven asplund,2.8,1.42
2026-08-01T13:26:02,ian garry,islam makhachev,3.55,1.29
2026-08-01T13:26:02,jan blachowicz,navajo stirling,3.65,1.27
2026-08-01T13:26:02,juliana miller,ravena oliveira morais,1.42,2.82
2026-08-01T13:26:02,mateusz gamrot,quillan salkilld,2.05,1.75
2026-08-01T14:33:17,alexia thainara,amanda lemos,1.42,2.82
2026-08-01T14:33:17,billy goff,ty cole miller,3.15,1.34
2026-08-01T14:33:17,billy quarantillo,diego ferreira,2.32,1.6
2026-08-01T14:33:17,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T14:33:17,daniel rodriguez,uros medic,3.85,1.25
2026-08-01T14:33:17,darren elkins,yadier delvalle,5.4,1.14
2026-08-01T14:33:17,gillian robertson,mackenzie dern,2.65,1.47
2026-08-01T14:33:17,guilherme pat,steven asplund,2.8,1.42
2026-08-01T14:33:17,ian garry,islam makhachev,3.55,1.29
2026-08-01T14:33:17,jan blachowicz,navajo stirling,3.6,1.28
2026-08-01T14:33:17,juliana miller,ravena oliveira morais,1.42,2.82
2026-08-01T14:33:17,mateusz gamrot,quillan salkilld,2.05,1.75
2026-08-01T17:22:10,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T17:22:10,billy goff,ty cole miller,3.15,1.34
2026-08-01T17:22:10,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T17:22:10,bruno lopes,diyar nurgozhay,2.37,1.57
2026-08-01T17:22:10,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T17:22:10,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T17:22:10,guilherme pat,steven asplund,2.8,1.42
2026-08-01T17:22:10,ian garry,islam makhachev,3.55,1.29
2026-08-01T17:22:10,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T17:22:10,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T18:08:40,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T18:08:40,billy goff,ty cole miller,3.15,1.34
2026-08-01T18:08:40,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T18:08:40,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T18:08:40,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T18:08:40,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T18:08:40,guilherme pat,steven asplund,2.8,1.42
2026-08-01T18:08:40,ian garry,islam makhachev,3.55,1.29
2026-08-01T18:08:40,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T18:08:40,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T18:11:08,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T18:11:08,billy goff,ty cole miller,3.15,1.34
2026-08-01T18:11:08,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T18:11:08,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T18:11:08,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T18:11:08,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T18:11:08,guilherme pat,steven asplund,2.8,1.42
2026-08-01T18:11:08,ian garry,islam makhachev,3.55,1.29
2026-08-01T18:11:08,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T18:11:08,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T18:24:44,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T18:24:44,billy goff,ty cole miller,3.15,1.34
2026-08-01T18:24:44,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T18:24:44,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T18:24:44,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T18:24:44,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T18:24:44,guilherme pat,steven asplund,2.8,1.42
2026-08-01T18:24:44,ian garry,islam makhachev,3.55,1.29
2026-08-01T18:24:44,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T18:24:44,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T18:27:08,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T18:27:08,billy goff,ty cole miller,3.15,1.34
2026-08-01T18:27:08,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T18:27:08,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T18:27:08,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T18:27:08,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T18:27:08,guilherme pat,steven asplund,2.8,1.42
2026-08-01T18:27:08,ian garry,islam makhachev,3.55,1.29
2026-08-01T18:27:08,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T18:27:08,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T18:55:47,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T18:55:47,billy goff,ty cole miller,3.15,1.34
2026-08-01T18:55:47,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T18:55:47,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T18:55:47,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T18:55:47,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T18:55:47,guilherme pat,steven asplund,2.8,1.42
2026-08-01T18:55:47,ian garry,islam makhachev,3.55,1.29
2026-08-01T18:55:47,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T18:55:47,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T18:57:52,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T18:57:52,billy goff,ty cole miller,3.15,1.34
2026-08-01T18:57:52,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T18:57:52,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T18:57:52,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T18:57:52,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T18:57:52,guilherme pat,steven asplund,2.8,1.42
2026-08-01T18:57:52,ian garry,islam makhachev,3.55,1.29
2026-08-01T18:57:52,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T18:57:52,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T19:11:01,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T19:11:01,billy goff,ty cole miller,3.15,1.34
2026-08-01T19:11:01,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T19:11:01,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T19:11:01,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T19:11:01,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T19:11:01,guilherme pat,steven asplund,2.8,1.42
2026-08-01T19:11:01,ian garry,islam makhachev,3.55,1.29
2026-08-01T19:11:01,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T19:11:01,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T19:11:28,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T19:11:28,billy goff,ty cole miller,3.15,1.34
2026-08-01T19:11:28,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T19:11:28,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T19:11:28,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T19:11:28,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T19:11:28,guilherme pat,steven asplund,2.8,1.42
2026-08-01T19:11:28,ian garry,islam makhachev,3.55,1.29
2026-08-01T19:11:28,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T19:11:28,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T19:39:27,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T19:39:27,billy goff,ty cole miller,3.15,1.34
2026-08-01T19:39:27,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T19:39:27,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T19:39:27,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T19:39:27,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T19:39:27,guilherme pat,steven asplund,2.8,1.42
2026-08-01T19:39:27,ian garry,islam makhachev,3.55,1.29
2026-08-01T19:39:27,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T19:39:27,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T19:42:25,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T19:42:25,billy goff,ty cole miller,3.15,1.34
2026-08-01T19:42:25,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T19:42:25,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T19:42:25,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T19:42:25,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T19:42:25,guilherme pat,steven asplund,2.8,1.42
2026-08-01T19:42:25,ian garry,islam makhachev,3.55,1.29
2026-08-01T19:42:25,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T19:42:25,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T19:45:28,alexia thainara,amanda lemos,1.4,2.87
2026-08-01T19:45:28,billy goff,ty cole miller,3.15,1.34
2026-08-01T19:45:28,billy quarantillo,diego ferreira,2.42,1.55
2026-08-01T19:45:28,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-01T19:45:28,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T19:45:28,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T19:45:28,guilherme pat,steven asplund,2.8,1.42
2026-08-01T19:45:28,ian garry,islam makhachev,3.55,1.29
2026-08-01T19:45:28,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T19:45:28,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T22:18:02,alexia thainara,amanda lemos,1.39,2.92
2026-08-01T22:18:02,billy goff,ty cole miller,3.15,1.34
2026-08-01T22:18:02,billy quarantillo,diego ferreira,2.47,1.52
2026-08-01T22:18:02,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T22:18:02,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T22:18:02,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T22:18:02,guilherme pat,steven asplund,2.92,1.4
2026-08-01T22:18:02,ian garry,islam makhachev,3.55,1.29
2026-08-01T22:18:02,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T22:18:02,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T22:46:29,alexia thainara,amanda lemos,1.39,2.92
2026-08-01T22:46:29,billy goff,ty cole miller,3.15,1.34
2026-08-01T22:46:29,billy quarantillo,diego ferreira,2.47,1.52
2026-08-01T22:46:29,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T22:46:29,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T22:46:29,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T22:46:29,guilherme pat,steven asplund,2.92,1.4
2026-08-01T22:46:29,ian garry,islam makhachev,3.55,1.29
2026-08-01T22:46:29,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T22:46:29,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T22:50:27,alexia thainara,amanda lemos,1.39,2.92
2026-08-01T22:50:27,billy goff,ty cole miller,3.15,1.34
2026-08-01T22:50:27,billy quarantillo,diego ferreira,2.47,1.52
2026-08-01T22:50:27,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T22:50:27,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T22:50:27,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T22:50:27,guilherme pat,steven asplund,2.92,1.4
2026-08-01T22:50:27,ian garry,islam makhachev,3.55,1.29
2026-08-01T22:50:27,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T22:50:27,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T22:56:51,alexia thainara,amanda lemos,1.39,2.92
2026-08-01T22:56:51,billy goff,ty cole miller,3.15,1.34
2026-08-01T22:56:51,billy quarantillo,diego ferreira,2.47,1.52
2026-08-01T22:56:51,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T22:56:51,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T22:56:51,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T22:56:51,guilherme pat,steven asplund,2.92,1.4
2026-08-01T22:56:51,ian garry,islam makhachev,3.55,1.29
2026-08-01T22:56:51,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T22:56:51,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T23:28:25,alexia thainara,amanda lemos,1.39,2.92
2026-08-01T23:28:25,billy goff,ty cole miller,3.15,1.34
2026-08-01T23:28:25,billy quarantillo,diego ferreira,2.47,1.52
2026-08-01T23:28:25,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T23:28:25,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T23:28:25,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T23:28:25,guilherme pat,steven asplund,2.92,1.4
2026-08-01T23:28:25,ian garry,islam makhachev,3.55,1.29
2026-08-01T23:28:25,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T23:28:25,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-01T23:49:27,alexia thainara,amanda lemos,1.39,2.92
2026-08-01T23:49:27,billy goff,ty cole miller,3.15,1.34
2026-08-01T23:49:27,billy quarantillo,diego ferreira,2.47,1.52
2026-08-01T23:49:27,bruno lopes,diyar nurgozhay,2.3,1.6
2026-08-01T23:49:27,darren elkins,yadier delvalle,5.8,1.13
2026-08-01T23:49:27,gillian robertson,mackenzie dern,2.75,1.44
2026-08-01T23:49:27,guilherme pat,steven asplund,2.92,1.4
2026-08-01T23:49:27,ian garry,islam makhachev,3.55,1.29
2026-08-01T23:49:27,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-01T23:49:27,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-02T14:14:49,alexia thainara,amanda lemos,1.39,2.92
2026-08-02T14:14:49,billy goff,ty cole miller,3.3,1.32
2026-08-02T14:14:49,billy quarantillo,diego ferreira,2.37,1.57
2026-08-02T14:14:49,bruno lopes,diyar nurgozhay,2.18,1.67
2026-08-02T14:14:49,darren elkins,yadier delvalle,5.2,1.15
2026-08-02T14:14:49,gillian robertson,mackenzie dern,2.75,1.44
2026-08-02T14:14:49,guilherme pat,steven asplund,3.1,1.36
2026-08-02T14:14:49,ian garry,islam makhachev,3.55,1.29
2026-08-02T14:14:49,jessie rosas,miles johns,2.22,1.65
2026-08-02T14:14:49,jose montanha,louie sutherland,2.27,1.62
2026-08-02T14:14:49,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-02T14:14:49,manoel sousa,richie miranda,1.36,3.05
2026-08-02T14:14:49,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-02T14:18:45,alexia thainara,amanda lemos,1.39,2.92
2026-08-02T14:18:45,billy goff,ty cole miller,3.3,1.32
2026-08-02T14:18:45,billy quarantillo,diego ferreira,2.37,1.57
2026-08-02T14:18:45,bruno lopes,diyar nurgozhay,2.18,1.67
2026-08-02T14:18:45,darren elkins,yadier delvalle,5.2,1.15
2026-08-02T14:18:45,gillian robertson,mackenzie dern,2.75,1.44
2026-08-02T14:18:45,guilherme pat,steven asplund,3.1,1.36
2026-08-02T14:18:45,ian garry,islam makhachev,3.55,1.29
2026-08-02T14:18:45,jessie rosas,miles johns,2.22,1.65
2026-08-02T14:18:45,jose montanha,louie sutherland,2.27,1.62
2026-08-02T14:18:45,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-02T14:18:45,manoel sousa,richie miranda,1.36,3.05
2026-08-02T14:18:45,mateusz gamrot,quillan salkilld,2.1,1.72
2026-08-02T16:39:40,alexia thainara,amanda lemos,1.39,2.92
2026-08-02T16:39:40,billy goff,ty cole miller,3.3,1.32
2026-08-02T16:39:40,billy quarantillo,diego ferreira,2.37,1.57
2026-08-02T16:39:40,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-02T16:39:40,darren elkins,yadier delvalle,5.2,1.15
2026-08-02T16:39:40,gillian robertson,mackenzie dern,2.75,1.44
2026-08-02T16:39:40,guilherme pat,steven asplund,3.1,1.36
2026-08-02T16:39:40,ian garry,islam makhachev,3.55,1.29
2026-08-02T16:39:40,jessie rosas,miles johns,2.22,1.65
2026-08-02T16:39:40,jose montanha,louie sutherland,2.27,1.62
2026-08-02T16:39:40,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-02T16:39:40,manoel sousa,richie miranda,1.36,3.05
2026-08-02T16:39:40,mateusz gamrot,quillan salkilld,2.18,1.67
2026-08-02T16:41:35,alexia thainara,amanda lemos,1.39,2.92
2026-08-02T16:41:35,billy goff,ty cole miller,3.3,1.32
2026-08-02T16:41:35,billy quarantillo,diego ferreira,2.37,1.57
2026-08-02T16:41:35,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-02T16:41:35,darren elkins,yadier delvalle,5.2,1.15
2026-08-02T16:41:35,gillian robertson,mackenzie dern,2.75,1.44
2026-08-02T16:41:35,guilherme pat,steven asplund,3.1,1.36
2026-08-02T16:41:35,ian garry,islam makhachev,3.55,1.29
2026-08-02T16:41:35,jessie rosas,miles johns,2.22,1.65
2026-08-02T16:41:35,jose montanha,louie sutherland,2.27,1.62
2026-08-02T16:41:35,juliana miller,ravena oliveira morais,1.38,3.0
2026-08-02T16:41:35,manoel sousa,richie miranda,1.36,3.05
2026-08-02T16:41:35,mateusz gamrot,quillan salkilld,2.18,1.67
2026-08-02T16:52:41,alexia thainara,amanda lemos,1.39,2.92
2026-08-02T16:52:41,billy goff,ty cole miller,3.3,1.32
2026-08-02T16:52:41,billy quarantillo,diego ferreira,2.37,1.57
2026-08-02T16:52:41,bruno lopes,diyar nurgozhay,2.27,1.62
2026-08-02T16:52:41,darren elkins,yadier delvalle,5.2,1.15
2026-08-02T16:52:41,gillian robertson,mackenzie dern,2.75,1.44
