ts_utc,run_day,evento,fecha_evento,inicio_utc,a,b,peso,modelo_ia,prompt_v,huella,veredicto,pick,p_a_ia,confianza,metodo_probable,lado,cuota_tomada,casa,ev_ia,cumple_regla,p_a_modelo,p_a_con_odds,p_a_mercado,cuota_a,cuota_b,n_razones,n_factores,prompt_tokens,output_tokens
2026-08-09T15:57:20.157233+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Dustin Stoltzfus,Mansur Abdul-Malik,Middleweight,gemini-3.5-flash,v2,15f451d6b41f8497,definido,b,0.35,media,ko,b,1.2,Paddy Power,-0.2199999999999999,False,0.3007516698151613,0.160437404872528,0.1717380937950629,4.7,1.18,4,2,2351,641
2026-08-09T15:57:21.271211+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Mackenzie Dern,Gillian Robertson,W Strawweight,gemini-3.5-flash,v2,c751886b9638bff5,parejo,b,0.45,media,dec,,,,,False,0.3941465291641532,0.633803600365585,0.704890876663826,1.37,3.0,3,2,2393,512
2026-08-09T15:57:29.365643+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Edson Barboza,Esteban Ribovics,Lightweight,gemini-3.5-flash,v2,13887e04320348dc,definido,b,0.35,media,dec,b,1.25,Coolbet,-0.1875,False,0.365566953114174,0.1990919639030744,0.2008949268142832,4.15,1.22,3,2,2411,591
2026-08-09T15:57:30.490084+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Chidi Njokuani,Joel Álvarez,Welterweight,gemini-3.5-flash,v2,9fd45aeaa83af27a,definido,b,0.35,media,sub,b,1.44,Virgin Bet,-0.064,False,0.27789094983616,0.2899677210947495,0.3209446211159837,2.8,1.42,3,2,2413,690
2026-08-09T15:57:39.442207+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Vicente Luque,Tresean Gore,Middleweight,gemini-3.5-flash,v2,194a3a198763a5f3,definido,a,0.72,alta,ko,a,2.3,BetOnline.ag,0.6559999999999999,True,0.7071473131387704,0.5269275435183228,0.4199996121846303,2.22,1.65,3,2,2402,614
2026-08-09T15:59:08.153906+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Lucas Fernando,Rafael Tobias,Light Heavyweight,gemini-3.5-flash,v2,5420134d8d3f49b7,parejo,b,0.47,baja,dec,,,,,False,,,0.720430390000855,1.33,3.25,2,1,1828,422
2026-08-09T16:00:05.476495+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Jeremiah Wells,Myktybek Orolbai,Welterweight,gemini-3.5-flash,v2,bece519246d27619,definido,b,0.3,alta,dec,b,1.2,Paddy Power,-0.16,False,0.2448723210457203,0.1057514748858974,0.1401718132713765,5.5,1.14,3,2,2399,691
2026-08-09T22:40:32.501302+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Eric McConico,Donte Johnson,Middleweight,gemini-3.5-flash,v2,1a9920589d4e347b,definido,b,0.35,media,dec,b,1.49,Pinnacle,-0.0314999999999999,False,0.2554873955306928,0.2781101825320937,0.3372030063120421,2.67,1.45,4,2,2147,696
2026-08-09T22:40:33.454803+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Jalin Turner,Kauê Fernandes,Lightweight,gemini-3.5-flash,v2,c61ba3333e9abc75,parejo,a,0.52,baja,ko,,,,,False,0.4464359805035217,0.5295451720898126,0.5891152379885477,1.62,2.25,3,2,2308,624
2026-08-09T22:40:34.197458+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Neil Magny,Ramiz Brahimaj,Welterweight,gemini-3.5-flash,v2,241ffce9bb650dce,parejo,a,0.53,baja,dec,,,,,False,0.6466034433459884,0.5845708519343826,0.4884694467482485,1.93,1.85,3,2,2413,644
2026-08-16T21:42:32.849390+00:00,2026-08-16,"Dana White's Contender Series: Season 10, Week 2",2026-08-18,2026-08-18T23:00Z,Alik Lorenz,Mahamed Aly,Light Heavyweight,gemini-3.5-flash,v2,1a8fce30c39999e8,parejo,a,0.5,baja,ko,,,,,False,,,,,,1,1,1759,347
2026-08-16T21:42:38.591836+00:00,2026-08-16,"Dana White's Contender Series: Season 10, Week 2",2026-08-18,2026-08-18T23:00Z,Kaik Brito,Namo Fazil,Welterweight,gemini-3.5-flash,v2,3897566fcdb6ac24,parejo,a,0.51,baja,dec,,,,,False,,,,,,2,1,1760,379
2026-08-16T21:42:45.307823+00:00,2026-08-16,"Dana White's Contender Series: Season 10, Week 2",2026-08-18,2026-08-18T23:00Z,Logan Paxton,Cristian Pérez,Lightweight,gemini-3.5-flash,v2,0a9922fa813f8fe7,parejo,a,0.5,baja,dec,,,,,False,,,,,,1,1,1751,346
2026-08-16T21:42:51.715153+00:00,2026-08-16,"Dana White's Contender Series: Season 10, Week 2",2026-08-18,2026-08-18T23:00Z,Trent Miller,Douglas Rodrigues,Middleweight,gemini-3.5-flash,v2,ca7e55cca9aeeffa,parejo,a,0.51,baja,dec,,,,,False,,,,,,1,1,1749,213
2026-08-16T21:42:56.386482+00:00,2026-08-16,"Dana White's Contender Series: Season 10, Week 2",2026-08-18,2026-08-18T23:00Z,Roman Puga,Taner Trembley,Featherweight,gemini-3.5-flash,v2,91977c686e336e39,parejo,a,0.51,baja,dec,,,,,False,,,,,,2,1,1766,374
2026-08-16T22:24:52.909234+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Roman Dolidze,Reinier de Ridder,Light Heavyweight,gemini-3.5-flash,v2,e449586d7625e529,parejo,b,0.46,media,dec,,,,,False,0.3835107000327359,0.1927654460601774,0.2278701631758036,3.75,1.26,3,1,2395,460
2026-08-16T22:24:54.400930+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Anthony Hernandez,Gregory Rodrigues,Middleweight,gemini-3.5-flash,v2,839f689d3333b16f,parejo,a,0.52,baja,dec,,,,,False,0.6122599281515005,0.6328997442750663,0.6178385778087999,1.55,2.4,3,2,2381,606
2026-08-16T22:24:55.987645+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Serghei Spivac,Vitor Petrino,Heavyweight,gemini-3.5-flash,v2,0a879b1ec5ef1bc1,parejo,b,0.46,media,dec,,,,,False,0.4363126324528846,0.3902988382175604,0.4002971395823737,2.32,1.6,3,1,2395,506
2026-08-16T22:25:08.295714+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Carli Judice,Jeisla Chaves,W Strawweight,gemini-3.5-flash,v2,f2120cdd3c1e9d8d,definido,a,0.65,media,dec,a,1.22,Betway,-0.2069999999999999,False,0.6276223088088011,0.8269329704510171,0.8208466014344947,1.19,4.55,3,2,2107,542
2026-08-16T22:25:10.748959+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Mason Jones,MarQuel Mederos,Lightweight,gemini-3.5-flash,v2,57f196c26ee3a5ab,parejo,a,0.56,media,dec,,,,,False,0.5196453455211509,0.690922726408457,0.6992641048495759,1.38,2.95,3,2,2242,640
2026-08-16T22:25:17.056884+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Chris Padilla,Nasrat Haqparast,Lightweight,gemini-3.5-flash,v2,86fce23998444303,parejo,a,0.56,media,dec,,,,,False,0.4907359323948914,0.4895249779784976,0.4942377828104434,1.91,1.87,3,2,2316,651
2026-08-16T22:25:22.998832+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Kennedy Nzechukwu,Shamil Gaziev,Heavyweight,gemini-3.5-flash,v2,c13e73623788ec93,definido,a,0.62,media,ko,a,2.2,Betway,0.3640000000000001,True,0.5746879747891809,0.5404557783167018,0.4569502943506135,2.05,1.75,3,2,2419,583
2026-08-16T22:25:31.413746+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Gauge Young,Stan Dorsainvil,Lightweight,gemini-3.5-flash,v2,2b6a89dce18539f5,definido,a,0.65,media,dec,a,1.62,Betano,0.0530000000000001,True,,,,1.62,2.25,3,1,1920,470
2026-08-16T22:25:49.801693+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Anthony Wint,Terrance Chatman,Heavyweight,gemini-3.5-flash,v2,b92e861c7cc0ba98,parejo,a,0.51,baja,ko,,,,,False,,,,1.12,6.1,2,1,1761,404
2026-08-16T22:25:50.104452+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Wes Schultz,Jackson McVey,Middleweight,gemini-3.5-flash,v2,7bc4de6ce37bf1a2,parejo,b,0.43,media,ko,,,,,False,0.3916279753539031,0.3673998525521695,0.3806111848952304,2.42,1.55,3,2,2083,622
2026-08-16T22:26:18.121475+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Marcio Barbosa,Ryan Kuse,Featherweight,gemini-3.5-flash,v2,a7d8a063a20a8b44,parejo,a,0.58,baja,ko,,,,,False,,,0.8939728992911645,1.11,6.2,3,2,1850,566
2026-08-16T22:27:34.066559+00:00,2026-08-16,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,2026-08-22T21:00Z,Jamall Emmers,Lerryan Douglas,Featherweight,gemini-3.5-flash,v2,52b1a5a8d2e94dc6,parejo,b,0.45,media,ko,,,,,False,0.4462513088222897,0.23688657959197987,0.22106654924721184,3.85,1.25,3,2,2184,573
